Type,RStudio,Stats,Location,Cohort,lon,lat
Learner,2,3,"Hinsdale, IL USA",First,-87.9370052,41.8008642
Mentor,5,4,Halifax,First,-70.86198499999999,41.99121299999999
Learner,2,2,"Charlotte, NC USA",First,-80.8431267,35.2270869
Mentor,5,4,"London, Uk",First,-0.1277583,51.5073509
Learner,4,3,"Rome, Italy",First,NA,NA
Learner,3,2,Illinois,First,NA,NA
Mentor,5,5,"Cambridge, MA, USA",First,NA,NA
Learner,2,4,"Seattle, WA, USA",First,-122.3320708,47.6062095
Learner,3,3,Claremont,First,-117.7197785,34.0966764
Learner,2,2,"San Jose, California, US",First,NA,NA
Learner,3,3,China,First,104.195397,35.86166
Learner,1,3,"Kansas City, Missouri, USA",First,NA,NA
Learner,1,2,"Billings, MT USA",First,-108.5006904,45.7832856
Learner,2,2,Finland,First,25.7481511,61.92410999999999
Learner,2,3,"Denton, TX",First,-97.13306829999999,33.2148412
Learner,2,2,"San Diego, CA, USA",First,-117.1610838,32.715738
Mentor,3,3,Canada,First,-106.346771,56.130366
Learner,3,2,Florida,First,-81.5157535,27.6648274
Learner,2,4,Oakville/Oantario/ Canada,First,-79.6876659,43.467517
Mentor,4,4,"Los Angeles, California, USA",First,-118.2436849,34.0522342
Mentor,5,4,"Toronto, ON, Canada",First,-79.3831843,43.653226
Learner,2,2,"Bethesda, MD, USA",First,-77.0947092,38.984652
Learner,2,3,"Tampa, FL USA",First,-82.4571776,27.950575
Mentor,4,5,Moscow/Russia,First,37.6172999,55.755826
Learner,3,3,"Buenos Aires, Argentina",First,-58.3815591,-34.6036844
Learner,2,4,"SF, CA",First,-122.4194155,37.7749295
Learner,2,3,"Portland, Oregon",First,NA,NA
Learner,2,3,"Indianapolis, IN, USA",First,-86.158068,39.768403
Learner,1,1,"Tampa, FL",First,-82.4571776,27.950575
Mentor,4,4,"Vancouver, BC, Canada",First,-123.1207375,49.2827291
Learner,3,2,"Hyderabad, India",First,78.486671,17.385044
Learner,3,5,"Izmir, Turkey",First,NA,NA
Learner,3,3,"Auckland, New Zealand",First,174.7633315,-36.8484597
Learner,2,3,"New Haven, Connecticut",First,NA,NA
Learner,3,3,"Sewickley, PA USA",First,-80.1844243,40.5364846
Learner,1,3,Washington DC,First,-77.0368707,38.9071923
Learner,2,3,Minneapolis Minnesota,First,-93.2650108,44.977753
Learner,4,3,Mexico City,First,NA,NA
Learner,2,2,India,First,78.96288,20.593684
Learner,2,3,"San Anselmo, California, USA",First,-122.5616448,37.9746458
Mentor,5,4,"Paris, France",First,NA,NA
Learner,3,3,Munich/Germany,First,NA,NA
Mentor,5,5,"London, U.K.",First,-0.1277583,51.5073509
Learner,3,3,Chicago,First,-87.6297982,41.8781136
Learner,1,2,Malaysia,First,101.975766,4.210484
Learner,2,2,"Skudai, Johor, Malaysia",First,103.6594267,1.5343616
Learner,2,2,India,First,78.96288,20.593684
Learner,3,3,"Austin, TX",First,-97.7430608,30.267153
Learner,2,3,"Oakland, CA",First,-122.2711137,37.8043637
Learner,2,1,Islamabad,First,73.2293542,33.6600365
Learner,5,5,Bangalore,First,77.5945627,12.9715987
Learner,3,2,"Bangalore, Karnataka, India",First,77.5945627,12.9715987
Learner,3,5,"Bangalore,Karnataka, India",First,77.5945627,12.9715987
Mentor,5,5,"Back of nowhere, australia",First,NA,NA
Learner,3,3,"Nairobi, Kenya",First,NA,NA
Learner,1,2,"Hyderabad, India",First,78.486671,17.385044
Learner,2,3,"Hyderabad, Telengana, India",First,NA,NA
Learner,2,2,"Trivandrum,Kerala,India",First,76.9366376,8.5241391
Learner,1,1,"karnataka,INDIA",First,75.7138884,15.3172775
Learner,2,1,"Bangalore,India",First,77.5945627,12.9715987
Learner,2,2,"Atlanta , usa",First,-84.3879824,33.7489954
Learner,3,2,"Bangalore, Karnataka, India",First,77.5945627,12.9715987
Learner,1,1,"Bangalore, India",First,NA,NA
Learner,1,2,"Edinburgh, UK",First,NA,NA
Mentor,5,5,"Berkeley, CA, USA",First,-122.272747,37.8715926
Mentor,5,5,"San Diego, CA, USA",First,-117.1610838,32.715738
Learner,1,2,"Hyderabad, Telangana, India",First,78.486671,17.385044
Learner,3,2,Warszawa,First,NA,NA
Learner,1,2,"Los Angeles, CA",First,-118.2436849,34.0522342
Learner,4,4,Palo Alto,First,-122.1430195,37.4418834
Learner,2,2,"Los Angeles, CA",First,-118.2436849,34.0522342
Learner,5,5,United States,First,-95.712891,37.09024
Mentor,5,5,"Bangalore,India",First,77.5945627,12.9715987
Learner,3,3,Netherlands,First,5.291265999999999,52.132633
Learner,5,5,AMSTERDAM,First,4.895167900000001,52.3702157
Learner,3,3,"Corvallis, OR, USA",First,-123.2620435,44.5645659
Mentor,4,3,London/UK and Zurich/Switzerland,First,8.5351904,47.3713134
